| Character   |   Char count |   Bit number |
|:------------|-------------:|-------------:|
|             |    139132610 |            8 |
| e           |     77130764 |            8 |
| t           |     57589780 |            8 |
| a           |     55297286 |            8 |
| i           |     50051692 |            8 |
| o           |     49514893 |            8 |
| n           |     46064994 |            8 |
| r           |     43296607 |            8 |
| s           |     40844869 |            8 |
| l           |     28424211 |            8 |
| h           |     26177831 |            8 |
| d           |     22976495 |            8 |
| c           |     20385009 |            8 |
| ]           |     20216224 |            8 |
| [           |     20214205 |            8 |
| u           |     19831916 |            8 |
| m           |     19597417 |            8 |
| p           |     15486987 |            8 |
| g           |     14109043 |            8 |
|             |     13147025 |            8 |
| f           |     12824746 |            8 |
| y           |     10044325 |            8 |
| .           |      9578832 |            8 |
| '           |      8824782 |            8 |
| w           |      8694029 |            8 |
| b           |      8680327 |            8 |
| ,           |      7978922 |            8 |
| v           |      6992891 |            8 |
| ;           |      6199271 |            8 |
| 1           |      6037325 |            8 |
| 0           |      5754062 |            8 |
| /           |      5277489 |            8 |
| <           |      5274001 |            8 |
| >           |      5274001 |            8 |
| &           |      5084982 |            8 |
| |           |      4907106 |            8 |
| 2           |      4721386 |            8 |
| =           |      4252985 |            8 |
| k           |      4156074 |            8 |
| C           |      3808746 |            8 |
| S           |      3614269 |            8 |
| -           |      3542288 |            8 |
| :           |      3536470 |            8 |
| T           |      3526518 |            8 |
| 9           |      3239688 |            8 |
| A           |      3199302 |            8 |
| 3           |      2736971 |            8 |
| 5           |      2596182 |            8 |
| 4           |      2579245 |            8 |
| )           |      2523537 |            8 |
| (           |      2521806 |            8 |
| *           |      2490470 |            8 |
| q           |      2488691 |            8 |
| 8           |      2443325 |            8 |
| 6           |      2372995 |            8 |
| M           |      2320907 |            8 |
| x           |      2288089 |            8 |
| I           |      2265955 |            8 |
| P           |      2043868 |            8 |
| 7           |      2005136 |            8 |
| B           |      1980445 |            8 |
| R           |      1756227 |            8 |
| D           |      1647098 |            8 |
| E           |      1514310 |            8 |
| H           |      1500527 |            8 |
| L           |      1484048 |            8 |
| F           |      1469489 |            8 |
| G           |      1406543 |            8 |
| N           |      1398638 |            8 |
| W           |      1294998 |            8 |
| U           |      1221576 |            8 |
| %           |       970827 |            8 |
| J           |       944266 |            8 |
| O           |       940324 |            8 |
| z           |       922263 |            8 |
| }           |       901320 |            8 |
| {           |       901242 |            8 |
| j           |       749260 |            8 |
| K           |       691732 |            8 |
| V           |       574845 |            8 |
| #           |       530859 |            8 |
| _           |       494564 |            8 |
| "           |       486902 |            8 |
| Z           |       383769 |            8 |
| Y           |       284145 |            8 |
| $           |       211082 |            8 |
| !           |       151677 |            8 |
| \           |       127850 |            8 |
| Q           |       123870 |            8 |
| X           |       111197 |            8 |
| é           |       107160 |           16 |
| ?           |        96847 |            8 |
| +           |        68136 |            8 |
| á           |        42238 |           16 |
| а           |        40054 |           16 |
|             |        36693 |            8 |
| и           |        32469 |           16 |
| о           |        30370 |           16 |
| ö           |        29670 |           16 |
| е           |        29334 |           16 |
| ó           |        28975 |           16 |
| í           |        28296 |           16 |
| н           |        28086 |           16 |
| р           |        26401 |           16 |
| ^           |        25924 |            8 |
| ä           |        25624 |           16 |
| ü           |        25306 |           16 |
| ’           |        25196 |           24 |
| –           |        23661 |           24 |
| —           |        20842 |           24 |
| י           |        19185 |           16 |
| т           |        18253 |           16 |
| ~           |        17592 |            8 |
| ו           |        17471 |           16 |
| с           |        17249 |           16 |
| л           |        16890 |           16 |
| è           |        16875 |           16 |
| к           |        15589 |           16 |
| ²           |        15555 |           16 |
| в           |        11927 |           16 |
| °           |        11403 |           16 |
| ー          |        11179 |           24 |
| ר           |        11123 |           16 |
| ç           |        11081 |           16 |
| ø           |        11040 |           16 |
| д           |        10842 |           16 |
| ”           |        10800 |           24 |
| ا           |        10478 |           16 |
| “           |        10313 |           24 |
| м           |        10095 |           16 |
| ン          |         9903 |           24 |
| ה           |         9338 |           16 |
| ל           |         8643 |           16 |
| у           |         8593 |           16 |
| א           |         8547 |           16 |
| ú           |         8455 |           16 |
| ō           |         8245 |           16 |
| É           |         8132 |           16 |
| å           |         8114 |           16 |
| ā           |         7975 |           16 |
| ë           |         7455 |           16 |
| ł           |         7446 |           16 |
| я           |         7363 |           16 |
| ñ           |         7102 |           16 |
| מ           |         7029 |           16 |
| ã           |         6913 |           16 |
| ·           |         6903 |           16 |
| נ           |         6806 |           16 |
| ・          |         6526 |           24 |
| п           |         6508 |           16 |
| š           |         6472 |           16 |
| à           |         6429 |           16 |
| α           |         6353 |           16 |
| ル          |         6235 |           24 |
| â           |         6074 |           16 |
| г           |         6005 |           16 |
| æ           |         5987 |           16 |
| ב           |         5755 |           16 |
| ô           |         5710 |           16 |
| ل           |         5683 |           16 |
| й           |         5617 |           16 |
| ر           |         5595 |           16 |
| ス          |         5580 |           24 |
| ο           |         5552 |           16 |
| ي           |         5505 |           16 |
| ס           |         5476 |           16 |
| ת           |         5358 |           16 |
| و           |         5176 |           16 |
| ק           |         5071 |           16 |
| ن           |         5069 |           16 |
| £           |         4941 |           16 |
| б           |         4876 |           16 |
| з           |         4815 |           16 |
| ט           |         4771 |           16 |
| ד           |         4707 |           16 |
| פ           |         4638 |           16 |
| ь           |         4635 |           16 |
| č           |         4601 |           16 |
| @           |         4559 |            8 |
| م           |         4456 |           16 |
| ê           |         4420 |           16 |
| ν           |         4243 |           16 |
| リ          |         4175 |           24 |
| ア          |         4095 |           24 |
| ι           |         4057 |           16 |
| ć           |         4025 |           16 |
| ト          |         3985 |           24 |
| ă           |         3956 |           16 |
| К           |         3911 |           16 |
| ラ          |         3879 |           24 |
| і           |         3873 |           16 |
| С           |         3868 |           16 |
| イ          |         3850 |           24 |
| А           |         3806 |           16 |
| ג           |         3764 |           16 |
| τ           |         3717 |           16 |
| ş           |         3617 |           16 |
| ש           |         3609 |           16 |
| ρ           |         3492 |           16 |
| 年          |         3394 |           24 |
| ð           |         3336 |           16 |
| ×           |         3299 |           16 |
